Question,Answer
is the kangaroo an herbivour,yes
are kangaroos shy,yes
what method of locomotion do kangaroos use,hopping
what is the average life expectancy of a kangaroo,4 to 6 years
what is a collective noun for a kangaroo,a mob troop or court
what is a roo,a kangaroo
what is used to protect a vehicale from a kangaroo,roo bars
what method is used by kangaroos to travel,hopping
who asked a nearby local what the creatures were called,captain james cook and naturalist sir joseph banks
what are four species that are commonly referred to as kangaroos,the red kangaroo the eastern grey kangaroo the western grey kangaroo and the antilopine kangaroo
are kangaroos and wallabies adept swimmers,yes
are kangaroos farmed to any extent,no
who also discovered that less than three percent of kangaroos exposed to the virus developed blindness,veterinarians
different species of kangaroos eat what,different diets
have kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars,yes
is a collision with a vehicle capable of killing a kangaroo,yes
was the game of marn grook played using a ball made from kangaroo by the kurnai people,yes
have kangaroos large  powerful hind legs  large feet adapted for leaping  a long muscular tail for balance  and a small head,yes
is a kangaroo a marsupial from the family macropodidae lrb macropods  meaning   large foot   rrb,yes
what kinds of changes have larger kangaroos adapted much better to,changes wrought to the australian landscape by humans
have larger kangaroos adapted much better to changes,yes
is the leopard smaller than the other members of panthera,yes
is a leopard larger and less lanky than a cheetah,yes
are large pythons potential prey for leopards,yes
what may a leopard be mistaken for,a cheetah or a jaguar
what is a hybrid animal resulting from a union between a leopard and a puma,a pumapard
where do leopards often hide their kills,in dense vegetation
where do leopards often hide their kills,in dense vegetation or in trees
how did early naturalists distinguish between leopards and panthers,by the length of their tails
how did early naturalists distinguish between leopards and panthers,by the length of the tail panthers having longer tails than leopards
what are dark leopards known as colloquially,black panthers
what shape are a leopards black ros08settes in east africa,circular
is the leopard an old world mammal,yes
is the leopard of the felidae family,yes
is the leopard one of the four big cats,yes
where is the leopard distributed,southern eurasia and africa
where is the leopard distributed,southern eurasia and africa from korea to south africa and spain
how long is a leopards tail,60 to 110cm
how long is a leopards tail,60110cm
how much does a leopard weigh,males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females
how much does a leopard weigh,because of ambiguity  2890kg
does a male leopard weigh more than a female leopard,yes
what is the difference between leopards and cheetahs,the leopard has ros08settes rather than cheetahs simple spots and the leopard is larger and less lanky than the cheetah
what is the difference between leopards and cheetahs,the leopard has ros08settes rather than cheetahs simple spots but they lack internal spots unlike the jaguar the leopard is larger and less lanky than the cheetah but smaller than the jaguar
how does the distribution size of the leopard compare to the distribution of other wild cats,as of 1996 the leopard had the largest distribution of any wild cat although populations before and since have shown a declining trend and are fragmented outside of subsaharan africa
how does the distribution size of the leopard compare to the distribution of other wild cats,the leopard had the largest distribution of any wild cat
what resembles that of the similarlysized cougar in the americas,the leopards ecological role
what was one of the many species described in linnaeuss 18thcentury work systema naturae,felis pardus
what sort of cats are solitary,leopards
are leopards circular,no
is the leopard solitary,yes
what centred in sierra,the leopard men
felis pardus was what,one of the many species described in linnaeuss 18thcentury work systema naturae
has the new zealand rugby league featured the otahuhu leopards and then the tamaki leopards,yes
were the leopard men a west african secret society who practised cannibalism,yes
was the leopard tank a german designed tank which entered service in 1965,yes
is the black color heritable and caused by only one recessive gene locus,yes
is the leopard lrb panthera pardus rrb an old world mammal of the felidae family and the smallest of the four   big cats   of the genus panthera  along with the tiger  lion  and jaguar,yes
can a panther be any of several species of large felid,yes
is the leopard an agile and graceful predator,yes
is liechtenstein bordered by switzerland,yes
is liechtenstein the smallest germanspeaking country in the world,yes
was liechtenstein part of the ancient roman province of raetia,yes
when was the first factory opened,1836
how many municipalities is liechtenstein divided into,11
what is the national currency of liechtenstein,swiss franc
has leichtenstein worked to promote the countys image by prosecuting international moneylaundering,yes
what company administers leichtensteins railways,austrian federal railways
what percentage of liechtensteins population is foreignborn,twothirds
what percentage of liechtensteins population is foreignborn,67
is there an airport in liechtenstein,no
is liechtenstein heavily urbanized,no
is liechtenstein doubly landlocked,yes
does liechtenstein have an army,no
when was liechtensteins current constitution adopted,october 1921
what is the official language of liechtenstein,german
what countries border liechtenstein,switzerland and austria
what roman province was liechtenstein part of,raetia
how many municipalities are within oberland,6
what is the smallest germanspeaking country in the world,liechtenstein
the savings and loans bank was founded as was the first cottonweaving mill in what year,1861
what enjoys one of the worlds highest standards of living,liechtensteins population
does the state court rule on the conformity of laws,yes
what do most recognizable international company and largest employer have in common,they are hilti
was liechtenstein completed in november 2000,no
what completed in november,the kunstmuseum liechtenstein
the state court rules what,on the conformity of laws with the constitution
the historical society of the principality of liechtenstein plays what,a role in preserving the culture and history of the country
is the museum collection also the national art collection of liechtenstein,yes
is there a small heliport at balzers in liechtenstein available for charter helicopter flights,yes
are nationals referred to by the plural  liechtensteiners,yes
is it a winter sports resort  although it is perhaps best known as a tax haven,yes
is it a winter sports resort,yes
is it the smallest germanspeaking country in the world,yes
what happened in moravia  lower austria  silesia  and styria  though in all cases  these territories were held in fief under other more senior feudal lords,the liechtenstein dynasty acquired vast swaths of land
did webster write i can now sleep of nights,yes
was the arrival of louis kossuth exiled leader of a failed hungarian revolution another issue that presented itself during fillmores presidency,yes
did he die at 1110 pm on march 8 1874 of the aftereffects of a stroke,yes
who got seward elected to the senate,weed
who got seward elected to the senate,weed ultimately got seward elected to the senate
where was commodore matthew c perry sent to open japan to western trade,japan
where was commodore matthew c perry sent to open japan to western trade,commodore matthew c perry send to japan
what is the remarkable millard fillmore,a fake biography based on real events that happened in fillmores life
what is the remarkable millard fillmore,in 2007 george pendle wrote the remarkable millard fillmore a fake biography based on real events that happened in fillmores life
did fillmore form a law partnership before or after he founded the private university of buffalo,before
did fillmore form a law partnership before or after he founded the private university of buffalo,law partnership founded before university of buffalo
did fillmore run for president a second time,yes
did fillmore run for president a second time,i dont know semantic ambiguity
how long after the death of his first wife did fillmore marry caroline mcintosh,where is the death date of his first wife
was millard fillmore the thirteenth president of the united states,yes
was millard fillmore born on january 7 1800,yes
did millard fillmore die on march 8 1974,no
where was millard fillmore born,in a log cabin in summerhill new york
to whom was millard fillmore born to,to nathaniel and phoebe millard fillmore
who did millard fillmore fall in love with,he fell in love with abigail powers
who did millard fillmore fall in love with,abigail powers
what did taylor and fillmore disagree upon,slavory issues
what did taylor and fillmore disagree upon,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexicanamerican war
how did fillmore ascend to the presidency,upon the death of the sitting president taylor
how did fillmore ascend to the presidency,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850
how did the supporters of henry clay feel about fillmore in 1848,they were ok with him
how did the supporters of henry clay feel about fillmore in 1848,angry
who was first apprenticed to a fuller to learn the clothmaking trade,millard fillmore
he founded the private university of buffalo on what date,1846
who or what fell in love with abigail powers,millard fillmore
was fillmore one of the founders of the university of buffalo,yes
was another primary objective of fillmore to preserve the union from the intensifying slavery debate,yes
was fillmore the second chancellor a position he maintained while both vice president and president,no
is fillmore the first of two presidents to have been an indentured servant,yes
is the comic strip mallard fillmore named after the president,yes
was fillmore the first us president born after the death of a former president,yes
did fillmore not turn down the honor  explaining that he had neither the  literary nor scientific attainment  to justify the degree,no
what happened in a log cabin in summerhill  new york,fillmore was born
who was born precisely at midnight during an electrical storm  to a serbian family in the village of smiljan near gospić  in the lika region of the croatian krajina in military frontier  part of the austrian empire   in the presentday croatia,nikola tesla
are there at least two films describing tesla s life,yes
have a number of live theatrical plays based on tesla s life been produced and staged worldwide,yes
do sea otters have long muscular tails,no
can otters survive in cold water,yes
does the giant otter inhabit south africa,no
how many species of otter are there,13
what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds
how much do sea otters weigh,30 kg about 65 pounds
how do sea otters insulate themselves,a layer of air trapped in their fur
how do sea otters insulate themselves,as with other species of otter they rely on a layer of air trapped in their fur which they keep topped up by blowing into the fur from their mouths
why are sea otters nearly extinct,theyve been hunted for their fur
why are sea otters nearly extinct,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them
what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths
what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths have become one of the significant threats to the success of their reestablishment
is otter a kind of mammal,yes
how many species and genera does otter have,13 species and 7 genera
how many species and genera does otter have,13 species in 7 genera
do otters live in water,yes
what do river otters eat,river otters eat a variety of fish and shellfish as well as small land mammals and birds
where do sea otters live,sea otters enhydra lutris live along the pacific coast of north america
where do sea otters live,the sea otter lives actually in the sea
where does the word otter derive from,the word otter derives from the old english word otr otor or oter
where does the word otter derive from,the word otter derives from the old english word otr otor or oter this and cognate words in other indoeuropean languages ultimately stem from a root which also gave rise to the english words water wet and winter
does otter give birth or lay egg,give birth
what drives sea otter almost to extinction,humans hunted them almost to extinction
what drives sea otter almost to extinction,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction
why otters are considered as totem animals,the time of year associated with this is also associated with the aquarius sign of the zodiac through which the sun passes january 20february 19
do sea otters live along the pacific coast,yes
are otters totem animals,yes
are otters herbivores,no
what is the primary item in an otters diet,fish
what is an otters den called,holt
why is the giant otter becoming increasingly rare,poaching habitat loss and toxins in gold mining
why is the giant otter becoming increasingly rare,poaching habitat loss and the use of mercury in illegal alluvial gold mining
how do otters keep themselves warm without blubber,a layer of air trapped in their fur
how are otters playful animals,the slide down snowy slopes apparently for sheer enjoyment
how are otters playful animals,they slide repeatedly down snowy slopes for sheer enjoyment
what animals are related to otters,weasels polecats and badgers
what traps a layer of air and keeps them dry and warm under water,long guard hair
the collective noun romp is sometimes used for a group of what,otters
is it true that otters eat a variety of fish,yes
are otters playful animals,yes
are otters very active,yes
are male otters dogotters,yes
an otter s den is what,a holt
sea otters eat what,shellfish and other invertebrates
is the myth of otter s ransom the starting point of the volsunga saga,yes
are male otters dogotters  females are bitches and babies are cubs or pups,yes
is an otter s den called a holt,yes
have most otters fish as the primary item in their diet  supplemented by frogs  crayfish and crabs,yes
do penguins feed on krill,yes
what is the largest living species of penguin,emperor penguin
what is the largest living species of penguin,the emperor penguin aptenodytes forsteri
do penguins live almost exclusively in the southern hemisphere,yes
what is tobogganing,when penguins slide on their bellies across the snow
what is tobogganing,tobogganing is when penguins slide on their bellies across the snow
why are penguins countershaded,for camouflage
are penguins afraid of humans,no
how much time to penguins spend on land,half of their life
how much time to penguins spend on land,they spend half of their life on land
how many species of penguins are there,between 17 and 20 living species
how many species of penguins are there,penguin biodiversity varies between 17 and 20 living species all in the subfamily spheniscinae
how are isabelline penguins different from most penguins,they have brown rather than black plumage
how are isabelline penguins different from most penguins,because they are born with brown rather than black plumage
are penguins birds,yes
do penguins have a better than average sense of hearing for birds,yes
do penguins have a better than average sense of hearing for birds,no
are penguins considered higher waterbirds,yes
what order do penguins belong to,sphenisciformes
what is the largest living species of penguin,emperor
how tall were the tallest prehistoric penguins,180 meters
how tall were the tallest prehistoric penguins,as tall as an adult human
what makes penguins so agile in the water,their wings have become flippers
what makes penguins so agile in the water,smooth plumage preserves a layer of air ensuring buoyancy wings are flippers
why do penguins tobaggan,it conserves energy while moving quickly
why do penguins tobaggan,conserves energy while moving quickly
who spend half of their life on land and half in the oceans,penguins
what is also the distance that antarctic tourists are told to keep from penguins,3 meters
what have become flippers useless for flight in the air,penguins wings
what happens when mothers lose a chick,they sometimes attempt to steal another chick
is it true that each penguin gets a turn in the center,yes
are all penguins countershaded,yes
are penguins astonishingly agile,in the water they are
are penguins at risk,yes
is it also possible that penguin comes from the latin pinguis  fat,yes
have penguins an average sense of hearing for birds,yes
can larger penguins dive deep in case of need,yes
is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 22 lb rrb,yes
is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage  or whether gigantism was evolved independently in a much restricted palaeeudyptinae and the anthropornithinae,it is not even known
is the largest living species the emperor penguin lrb aptenodytes forsteri rrb,yes
is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 2,yes
what happened in a region not quite 2000 km south of the equator 35 mya,at least one giant penguin
what is the last word on the page,connecticut
what is the last word on the page,ssn22
is polar bear a mammal,yes
is polar bear a carnivore,yes
what is largest polar bear on record,2200 lb
what is largest polar bear on record,a huge male allegedly weighing 1002 kg 2200 lb shot at kotzebue sound in northwestern alaska in 1960
what is polar bears skin color,white or cream
what is polar bears skin color,black
how long is polar bears guard hair,515 cm
what is cause of polar bears skin diseases,mites or other parasites
why polar bear is a special species,the world conservation union listed polar bears as a vulnerable species one of three subcategories of threatened status in may 2006 their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced
what do fossil and dna evidence tell us,the polar bear diverged from the brown bear about 200 thousand years ago
what do fossil and dna evidence tell us,the polar bear diverged from the brown bear roughly 200 thousand years ago
does a polar bear live in the arctic,yes
is a polar bear white in color,yes
is a polar bear at high risk of extinction,yes
how heavy is a male polar bear,300600 kg 6601320 lb
how heavy is a male polar bear,most adult males weigh 350650 kg
how heavy was the largest polar bear on record,1002 kg 2200 lb
how heavy was the largest polar bear on record,he allegedly weighed 1002 kg
what does a polar bears fur provide,it provides the animal with effective camouflage
what does a polar bears fur provide,a polar bears fur provides camouflage and insulation
do female polar bears weight more than the male,no
how much weight do female polar bears gain during pregnancy,they gain double their weight
how much weight do female polar bears gain during pregnancy,they double their weight during pregnancy
can polar bears be seen under infrared photography,polar bears are nearly invisible under infrared photography
can polar bears be seen under infrared photography,only their breath and muzzles can be easily seen
what is actually black in color,a polar bears skin
what insulate it against the cold,its think blubber and fur
what includes a lengthy justification of why this species is listed as vulnerable,database entry
what do with greenpeace and the natural resources defense council have in common,they filed lawsuits in california
are studies insufficient evidence for global protection,it is arguable
are polar bears excellent swimmers,yes
a semiaquatic marine mammal  the polar bear has what,it has adapted for life on a combination of land sea and ice
garbage is what,garbage is now recycled or transported to thompson manitoba
the bears sometimes what,they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites
is the polar bear the mascot of bowdoin college,yes
have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat,yes
did mitchell taylor  the nunavut government manager of wildlife research  not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time,no
are cubs born in december without awakening the mother,yes
does qatar rank as the eighth richest country in the world per capita,no
do nearly all qataris profess islam,yes
can women legally drive in qatar,yes
when did qatar become an independent state,september 3 1971
where is qatars telecommunication system centered,doha
where did a suicidebombing kill a teacher in 2005,at the doha players theatre
where did a suicidebombing kill a teacher in 2005,doha players theatre
does the native pronunciation of qatar sound like cutter,yes
does the native pronunciation of qatar sound like cutter,no
what is the arabic word for municipalities,baladiyah
what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell universitys weill medical college
what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell university
what carried with it a tacit recognition of qatars status as distinct from bahrain,the british protectorate per colonel lewis pelly asking to negotiate with a representative from qatar after bahrains violation of the 1820 anglobahraini treaty
qatar became an independent sovereign state in what year,on september 3 1971
what consists of a low barren plain covered with sand,much of the country
how do qatar and the wider region relate,qatar is aiming to become a role model for economic and social transformation in the region large scale investment in all social and economic sectors will also lead to the development of a strong financial market
was qatar university founded in 1973,yes
is qatar bordered by saudi arabia to the south,yes
what bordered by saudi,qatar
who served as the headquarters and one of the main launching sites of the us invasion of iraq in 2003,qatar
has qatar a modern telecommunication system centered in doha,yes
did the qataris not choose as their negotiator the respected entrepreneur and longtime resident of doha  muhammed bin thani,yes
will oil and gas probably remain the backbone of qatar s economy for some time to come,yes
has it been created with a long term perspective to support the development of qatar and the wider region  develop local and regional markets  and strengthen the links between the energy based economies and global financial markets,yes
what happened in these positions in english,these allophones cannot occur there
can these allophones not occur in these positions in english,yes
is rrb  officially the state of qatar lrb arabic   transliterated as dawlat qatar rrb  an arab emirate in southwest asia,yes
does romania border hungary,yes
is romania a secular state,yes
is the president elected by popular vote,yes
how many counties is romania divided into,41
how many counties is romania divided into,fortyone
what is the highest mountain in romania,moldoveanu peak
what is the official language of romania,romanian
is the romanian economy doing well,yes
are there many roma in romania,no
how many territories joined to form romania,2
does romania share a border with ukraine,yes
did romania declare neutrality during world war i,yes
does romania share the same language with moldova,yes
does romania share the same language with moldova,practically
who was the first gymnast to score a perfect ten,nadia comăneci
what is the largest city in romania,bucharest
what is the largest ethnic minority in romania,hungarians
how many countries in europe are bigger than romania,eleven
why doesnt romania have a state religion,romania is a secular state
why wasnt romania neutral during world war ii,it received a soviet ultimatum
why wasnt romania neutral during world war ii,the soviets threatened invasion
sibiu a large city in transylvania was chosen as european capital of culture in what year,2007
what are approximately 42000 years old and have been nicknamed john of anina,the remains the lower jaw of the oldest modern human
is it true that romania has a population of 21698181,yes
what do economy and law have in common,not sure how to answer this
what did tourism in romania attract in 2005,investments worth 400 million euros
is romania a semipresidential unitary state,yes
is romania a semipresidential democratic republic where executive functions are shared between the president and the prime minister,yes
was gellu naum the leader of the surrealist movement in romania,yes
was the bucharest metro only opened in 1979,yes
is romania lrb  rrb a country in southeastern europe,yes
do singaporeans enjoy squid,yes they do
do singaporeans enjoy squid,yes
did singapores standard of living decrease since independence,no the standard living was raised
did singapores standard of living decrease since independence,no
did the media contribute 156 to singapores gdp in 2001,no it contributed 156 to gdp in 2001
did the media contribute 156 to singapores gdp in 2001,no
how many people use the bus network daily,more than 278 million people
how many people use the bus network daily,278 million people
where did orang laut people live,orang laut people lived around the coast rivers and smaller islands
where did orang laut people live,several hundred indigenous orang laut people also lived around the coast rivers and smaller islands
what is the mrt,one of three heavy rail passenger transport lines in singapore
what is the mrt,mass rapid transit system
how is singapores climate characterized,singapore has a tropical rainforest climate with no distinctive seasons
how is singapores climate characterized,its climate is characterized by uniform temperature and pressure high humidity and abundant rainfall
how much increase in the medias contribution to gdp is the government seeking,the government seeks to increase its gdp contribution to 3 by 2012
how many days did it take the imperial japanese army to win the battle of singapore,six days
how many days did it take the imperial japanese army to win the battle of singapore,6 days
is singapore located at the southern tip of the korean penisula,no
is singapore located at the southern tip of the korean penisula,yes
is singapore a citystate,yes
has sang nila utama visited singapore,yes
what does singa mean,lion
when is the first record of s08settlement in singapore,second century ad
when is the first record of s08settlement in singapore,the first records of s08settlement in singapore are from the second century ad
which nation invaded singapore during world war ii,japan
which nation invaded singapore during world war ii,during world war ii the imperial japanese army invaded malaya culminating in the battle of singapore
why churchill called the occupation of singapor by janpan during wwii britains greatest defeat,the british were defeated in six days
was lee kuan yew a successful leader of singapore,yes
when did goh chok tong succeed lee as prime minister,in 1990 goh chok tong succeeded lee as prime minister
what is the primary domestic source of water supply,the primary domestic source of water supply in singapore is rainfall
what is the national language of singapore,the national language of singapore is malay
where is the national orchid garden,singapore botanic gardens
why are relations with malaysia and indonesia important,due to obvious geographical reasons relations with malaysia and indonesia are most important
what is the most densely populated independent country in the world,monaco
who did sir thomas stamford raffles work for,british east india company
when was lee kuan yew prime minister of singapore,1959
what is the punishment for firstdegree murder,there are laws which allow capital punishment in singapore for firstdegree murder and drug trafficking
what established a trading post on the island in 1819,british east india company
what used singapore as a strategic trading post along the spice route,british
what became one of the most important commercial and military centres of the british empire,singapore
who boasted a sizeable community of 100000 by 1869,british india office
how do reservoirs and water relate,by 2001 there were 19 raw water reservoirs 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs
is it true that singapore has several long  standing disputes with malaysia,yes
has singapore changi airport a network of 81 airlines connecting singapore to 185 cities in 58 countries,yes
has singapore a network of reservoirs and water catchment areas,yes
has urbanization eliminated many areas of former primary rainforest  with the only remaining area of primary rainforest being bukit timah nature reserve,yes
does the economy not depend heavily on exports refining imported goods  especially in manufacturing,no
is singapore lrb     rrb  officially the republic of singapore lrb     rrb  an island nation located at the southern tip of the malay peninsula,yes
is singapore the 17th wealthiest country in the world in terms of gdp per capita,no
was thedore roosevelt  a member of the republican party,yes
does theodore roosevelt have a brother,yes
did theodore roosevelt go to harvard,yes
where was theodore roosevelt born,28 east 20th street in the modernday gramercy section of new york city
where was theodore roosevelt born,a fourstory brownstone at 28 east 20th street in the modernday gramercy section of new york city
what did roosevelt do to improve his physical condition,roosevelt took up exercise
what did roosevelt do to improve his physical condition,he started boxing
why did roosevelt start boxing lessons,to deal with bullies
what was the nickname of theodore roosevelts sister anna,bamie as a child and bye as an adult
what was the nickname of theodore roosevelts sister anna,bamie
what was roosevelts justification for supporting desegregation of schools in new york,noting that his children had been educated with other races and there was nothing wrong with it
what was roosevelts justification for supporting desegregation of schools in new york,that his children had been educated with other races and there was nothing wrong with it
how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house,mixing of the races on social occassions
how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house,they outraged
did theodore roosevelt study judo,no
did theodore roosevelt study judo,no clue
did roosevelt receive a medal of honor,yes
did roosevelt receive a medal of honor,nein
did roosevelt study biology,yes
did roosevelt study biology,he was strong in biology
where was theodore roosevelt from,gramercy section of new york city
where was theodore roosevelt from,new york city
who was roosevelts presidential hero,lincoln was roosevelts presidential hero
when did roosevelt die,on january 6 1919 roosevelt died in his sleep
who helped to fund roosevelts african safari,financed by andrew carnegie and his own proposed writings
who helped to fund roosevelts african safari,andrew carnegie
did roosevelt support racial integration in schools,yes
did roosevelt support racial integration in schools,he supported a bill allowing school desegregation in new york state
was roosevelts family rich,yes
are turtles ectothermic,yes
does the mother care for the young,no
are turtles pets,yes
what shape are the eggs of the larest species of turtle,spherical
how often do turtles breed,every few years or more
what do all turtles and tortoises breathe,air
how do turtles reproduce,they lay eggs
what has been discovered about turtles organs,they do not gradually break down or become less efficient over time
what has been discovered about turtles organs,they do not break down
what suborder of turtle draws its head into its shell,pleurodira
do sea turtles lay eggs on dry sandy beaches,yes
are pleurodira known as sidenecked turtles,yes
are turtles a part of the flying spaghetti monster,shrug
how many suborders are turtles divided into,three
name a turtle popularly kept as a pet,russian tortoises
name four related articles for the article on turtles,triassic ernst haeckel kunstformen der natur animal
if a turtle egg was kept warm what would likely hatch,a female turtle
what do turles use to breathe in the water,papillae
why are sidenecked turtles called sidenecked turtles,because of the way they withdraw their heads into their shells
why are sidenecked turtles called sidenecked turtles,the way they withdraw their heads into their shells
do turtles lay eggs underwater,no
are turtle eggs leathery and soft,yes
are turtles being examined for longevity genes,yes
what suborder of turtles is extinct,paracryptodira
what do turtle eggs preared to eat consist mainly of,yolk
where do sea turtles lay their eggs,holes dug into the mud or sand
where do sea turtles lay their eggs,holes dug into mud or sand
what is the smallest suborder of turtles,pleurodira
what are turtle eggs covered in when they incubate,mud or sand
what type of creatures breathe air and dont lay eggs underwater,amniotes
what type of creatures breathe air and dont lay eggs underwater,amnoites
what are deposited in holes dug into mud or sand,eggs
what sort of turtles are ectothermic,all of them
are the largest turtles aquatic,yes
is aquatic respiration in australian freshwater turtles being studied,yes
these projections  called papillae  have what,a rich blood supply
the eggs of the largest species are what,spherical
has this inspired genetic researchers to begin examining the turtle genome for longevity genes,yes
can turtles take many years to reach breeding age,yes
are immature sea turtles not cared for by the adults,yes
are the pleurodira sometimes known as the sidenecked turtles  a reference to the way they withdraw their heads into their shells,yes
does the order testudines not include both extant lrb living rrb and extinct species  the earliest known turtles being from around 215 million years ago,yes
was ulysses grant a general in the american civil war,yes
was grants fatherinlaw a democrat,yes
was grants fatherinlaw a democrat,yup
did ulysses win the battle of champion hill,yes
did ulysses win the battle of champion hill,you betcha
who was grants brother in law,fred dent
where was grant born,point pleasant ohio
where was grant born,a log cabin in point pleasant clermont county ohio
what was grants political affiliation,republican
why did grant say damn i had nothing to do with this batte,it went well
why did grant say damn i had nothing to do with this batte,because the generals under him acted on their own
did horace greenley lose in the presidential elections of 1872,yes
did horace greenley lose in the presidential elections of 1872,si
why did grant think that war was unjust,he thought it was designed to gain land open to slavery
why did grant think that war was unjust,he accepted the theory that it was designed to gain land open to slavery
who achieved international fame as the leading union general in the american civil war,grant
grant was elected president as a republican in what year,1868
who took a hard line that reduced violence by groups like the ku klux klan,grant
when did he vote for democrat james buchanan,1856
who did president lincoln promote of major general in the regular army effective july 4,grant
was grant elected president as a republican,yes
what was from pennsylvania,his father
was it a twosentence description that completely caught the essence of ulysses s grant,yes
was grant s favorite brand of bourbon whiskey old crow,yes
had he smoked only sporadically,yes
did grant  perkins not sell harnesses  saddles  and other leather goods and purchase hides from farmers in the prosperous galena area,they did
is the famous dragon gate at the entrance to the district at the corner of grant and bush street,yes
what happened in 1865,he accepted the surrender of robert e lee
what happened in recent years,his reputation as president has improved
is uruguay located in the northwesten part of africa,no
is uruguays capital montevideo,yes
does uruguay have cold summers,no
who founded montevideo,the spanish
where is uruguays oldest church,san carlos maldonado
who heavily influenced the architecture and culture of montevideo,european immigrants
what are poor neighborhoods called informally,cantegriles
is uruguays landscape mountainous,no
is uruguays landscape mountainous,not really
what religion do most uruguayans profess,none
what religion do most uruguayans profess,roman catholic
is uruguay located in south america,yes its located in the southeastern part
is uruguay located in south america,yes
can citizens propose changes to the constitution,yes people are allowed to challenge laws
can citizens propose changes to the constitution,yes
did uruguay host the first ever world cup,yes in 1930
did uruguay host the first ever world cup,yes
who founded montevideo,by the spanish in the early 18th century
who founded montevideo,montevideo was founded by the spanish in the early 18th century as a military stronghold
how many square kilometres of continental land is uruguay,176215 km��
how many square kilometres of continental land is uruguay,176214 square kilometres
how much of the population is of white european descent,88
how much of the population is of white european descent,approximately 88 of its population are of prevalently white european descent
why was the capital of uruguay founded,for a military stronghold
why was the capital of uruguay founded,uruguays capital montevideo was founded by the spanish in the early 18th century as a military stronghold
how many times has uruguay won the world cup,twice
how many times has uruguay won the world cup,on two or more occasions
how much is the average income of an african woman compared to a european man,african women earns 065  0718   4667 of a european man earns in average
does uruguay recognize samesex civil unions,yes
does uruguay border french guiana,no
is uruguays warmest month june,no
what does a citizen use to propose changes to the constitution,referendum
what does a citizen use to propose changes to the constitution,plebiscite
what religions are found in uruguay,roman catholic protestant jewish and nonprofessing
what religions are found in uruguay,roman catholic protestant jewish
what has uruguay done to be competitive in agriculture,labeling as natural or ecological
what has uruguay done to be competitive in agriculture,use low inputs of labour technology and capital which results in lower yields but also opens the door for uruguay to market its products as natural or ecological
what are the names of uruguays political parties,partido colorado and partido blanco
what are the names of uruguays political parties,partido blanco and partido colorado
is uruguay the smallest soverign nation in south america,no
what was founded by the spanish in the early 18th century as a military stronghold,montevideo
what has many possible meanings,what
how do india and latin america relate,uruguay exports architectural services to india and latin america
what did uruguay win in 1828,its independence
is uruguay very common,no
is the climate in uruguay temperate,yes
is the main sport in uruguay football,yes
is uruguay s oldest church in san carlos  maldonado,yes
is uruguay a member of the cairns group of exporters of agricultural products,yes
is it widely considered the most secular nation in latin america,yes
is it the second smallest independent country in south america  larger only than suriname and the french overseas department of french guiana,yes
is it a constitutional democracy  where the president fulfills the roles of both head of state and head of government,yes
was woodrow wilson the thirtieth president of the united states,no
did woodrow wilson create the league of nations,yes
did the us join the league of nations,no
where was the league of nations created,paris
when was woodrow wilson born,december 28 1856
who was president when wilson finished congressional government,grover cleveland
what field did woodrow wilson leave law practice to study,history and political science
what field did woodrow wilson leave law practice to study,government
what caused wilson to ask congress to declare war on the central powers,german began unrestricted submarine warfare
what caused wilson to ask congress to declare war on the central powers,world war i
what was more damaging than moving students into colleges,his confrontation with andrew fleming west
was wilson a member of the phi kappa psi fraternity,yes
was wilson a member of the phi kappa psi fraternity,totallyt
was wilson an automobile enthusiast,yes
was wilson an automobile enthusiast,ouai
did wilsons father own slaves,yes
did wilsons father own slaves,yeah
where is wilson buried,he was buried in washington national cathedral
where is wilson buried,washington national cathedral
where did wilson attend law school,wilson attended law school at university of virginia
where did wilson attend law school,university of virginia
where was woodrow wilson born,woodrow wilson was born in staunton virginia
